No,°üÃø¼Ò¸í,°üÃø½Ã°£,À¯¼Ó(Kn & cm/s),À¯Çâ(¢ª),À¯Çâ16¹æÀ§,,,,,,,
1,»ó¿Õµîµµ,2024-05-13 0:00,.99 & 50.7,221,³²¼­,,,,,,,
2,»ó¿Õµîµµ,2024-05-13 0:10,.96 & 49.4,221,³²¼­,,,,,,,
3,»ó¿Õµîµµ,2024-05-13 0:20,.84 & 43,223,³²¼­,,,,,,,
4,»ó¿Õµîµµ,2024-05-13 0:30,.71 & 36.6,222,³²¼­,,,,,,,
5,»ó¿Õµîµµ,2024-05-13 0:40,.6 & 31,219,³²¼­,,,,,,,
6,»ó¿Õµîµµ,2024-05-13 0:50,.5 & 25.6,222,³²¼­,,,,,,,
7,»ó¿Õµîµµ,2024-05-13 1:00,.38 & 19.4,222,³²¼­,,,,,,,
8,»ó¿Õµîµµ,2024-05-13 1:10,.18 & 9.4,210,³²³²¼­,,,,,,,
9,»ó¿Õµîµµ,2024-05-13 1:20,.06 & 3.1,198,³²³²¼­,,,,,,,
10,»ó¿Õµîµµ,2024-05-13 1:30,.05 & 2.7,69,µ¿ºÏµ¿,,,,,,,
11,»ó¿Õµîµµ,2024-05-13 1:40,.07 & 3.6,56,ºÏµ¿,,,,,,,
12,»ó¿Õµîµµ,2024-05-13 1:50,.14 & 7.3,41,ºÏµ¿,,,,,,,
13,»ó¿Õµîµµ,2024-05-13 2:00,.34 & 17.4,53,ºÏµ¿,,,,,,,
14,»ó¿Õµîµµ,2024-05-13 2:10,.4 & 20.5,60,µ¿ºÏµ¿,,,,,,,
15,»ó¿Õµîµµ,2024-05-13 2:20,.45 & 23.1,53,ºÏµ¿,,,,,,,
16,»ó¿Õµîµµ,2024-05-13 2:30,.58 & 29.8,51,ºÏµ¿,,,,,,,
17,»ó¿Õµîµµ,2024-05-13 2:40,.6 & 31.1,49,ºÏµ¿,,,,,,,
18,»ó¿Õµîµµ,2024-05-13 2:50,.61 & 31.5,46,ºÏµ¿,,,,,,,
19,»ó¿Õµîµµ,2024-05-13 3:00,.72 & 37.2,47,ºÏµ¿,,,,,,,
20,»ó¿Õµîµµ,2024-05-13 3:10,.78 & 40.2,47,ºÏµ¿,,,,,,,
21,»ó¿Õµîµµ,2024-05-13 3:20,.83 & 42.7,48,ºÏµ¿,,,,,,,
22,»ó¿Õµîµµ,2024-05-13 3:30,.78 & 40,48,ºÏµ¿,,,,,,,
23,»ó¿Õµîµµ,2024-05-13 3:40,.83 & 42.6,48,ºÏµ¿,,,,,,,
24,»ó¿Õµîµµ,2024-05-13 3:50,.82 & 42.3,47,ºÏµ¿,,,,,,,
25,»ó¿Õµîµµ,2024-05-13 4:00,.75 & 38.8,47,ºÏµ¿,,,,,,,
26,»ó¿Õµîµµ,2024-05-13 4:10,.84 & 43.1,40,ºÏµ¿,,,,,,,
27,»ó¿Õµîµµ,2024-05-13 4:20,.89 & 45.7,37,ºÏµ¿,,,,,,,
28,»ó¿Õµîµµ,2024-05-13 4:30,.92 & 47.2,28,ºÏºÏµ¿,,,,,,,
29,»ó¿Õµîµµ,2024-05-13 4:40,.86 & 44,26,ºÏºÏµ¿,,,,,,,
30,»ó¿Õµîµµ,2024-05-13 4:50,.89 & 45.8,23,ºÏºÏµ¿,,,,,,,
31,»ó¿Õµîµµ,2024-05-13 5:00,.89 & 46,27,ºÏºÏµ¿,,,,,,,
32,»ó¿Õµîµµ,2024-05-13 5:10,1.05 & 54,29,ºÏºÏµ¿,,,,,,,
33,»ó¿Õµîµµ,2024-05-13 5:20,1.07 & 55.1,28,ºÏºÏµ¿,,,,,,,
34,»ó¿Õµîµµ,2024-05-13 5:30,1.08 & 55.7,27,ºÏºÏµ¿,,,,,,,
35,»ó¿Õµîµµ,2024-05-13 5:40,1.07 & 55.2,25,ºÏºÏµ¿,,,,,,,
36,»ó¿Õµîµµ,2024-05-13 5:50,1.05 & 54.2,24,ºÏºÏµ¿,,,,,,,
37,»ó¿Õµîµµ,2024-05-13 6:00,1.08 & 55.8,21,ºÏºÏµ¿,,,,,,,
38,»ó¿Õµîµµ,2024-05-13 6:10,1.07 & 55.1,15,ºÏºÏµ¿,,,,,,,
39,»ó¿Õµîµµ,2024-05-13 6:20,1.03 & 52.8,18,ºÏºÏµ¿,,,,,,,
40,»ó¿Õµîµµ,2024-05-13 6:30,.97 & 49.8,16,ºÏºÏµ¿,,,,,,,
41,»ó¿Õµîµµ,2024-05-13 6:40,.92 & 47.2,19,ºÏºÏµ¿,,,,,,,
