No,°üÃø¼Ò¸í,°üÃø½Ã°£,À¯¼Ó(Kn & cm/s),À¯Çâ(¢ª),À¯Çâ16¹æÀ§,,,,,,,
1,¿ï¸ªµµºÏµ¿,2024-05-12 0:00,.72 & 36.8,205,³²³²¼­,,,,,,,
2,¿ï¸ªµµºÏµ¿,2024-05-12 0:30,.59 & 30.5,218,³²¼­,,,,,,,
3,¿ï¸ªµµºÏµ¿,2024-05-12 1:00,.63 & 32.4,207,³²³²¼­,,,,,,,
4,¿ï¸ªµµºÏµ¿,2024-05-12 1:30,.46 & 23.9,232,³²¼­,,,,,,,
5,¿ï¸ªµµºÏµ¿,2024-05-12 2:00,.39 & 20.3,243,¼­³²¼­,,,,,,,
6,¿ï¸ªµµºÏµ¿,2024-05-12 2:30,.05 & 2.7,332,ºÏºÏ¼­,,,,,,,
7,¿ï¸ªµµºÏµ¿,2024-05-12 3:00,.19 & 9.8,254,¼­³²¼­,,,,,,,
8,¿ï¸ªµµºÏµ¿,2024-05-12 3:30,.05 & 2.6,271,¼­,,,,,,,
9,¿ï¸ªµµºÏµ¿,2024-05-12 4:00,.08 & 4.1,308,ºÏ¼­,,,,,,,
10,¿ï¸ªµµºÏµ¿,2024-05-12 4:30,.11 & 5.8,229,³²¼­,,,,,,,
11,¿ï¸ªµµºÏµ¿,2024-05-12 5:00,.16 & 8.2,206,³²³²¼­,,,,,,,
12,¿ï¸ªµµºÏµ¿,2024-05-12 5:30,.24 & 12.6,192,³²³²¼­,,,,,,,
13,¿ï¸ªµµºÏµ¿,2024-05-12 6:00,.19 & 9.7,123,µ¿³²µ¿,,,,,,,
14,¿ï¸ªµµºÏµ¿,2024-05-12 6:30,.31 & 16,175,³²,,,,,,,
15,¿ï¸ªµµºÏµ¿,2024-05-12 7:00,.31 & 15.8,196,³²³²¼­,,,,,,,
16,¿ï¸ªµµºÏµ¿,2024-05-12 7:30,.5 & 25.9,175,³²,,,,,,,
17,¿ï¸ªµµºÏµ¿,2024-05-12 8:00,.44 & 22.8,169,³²,,,,,,,
18,¿ï¸ªµµºÏµ¿,2024-05-12 8:30,.6 & 31.1,173,³²,,,,,,,
19,¿ï¸ªµµºÏµ¿,2024-05-12 9:00,.66 & 34.1,177,³²,,,,,,,
20,¿ï¸ªµµºÏµ¿,2024-05-12 9:30,.37 & 19.1,189,³²,,,,,,,
21,¿ï¸ªµµºÏµ¿,2024-05-12 10:00,.61 & 31.5,177,³²,,,,,,,
22,¿ï¸ªµµºÏµ¿,2024-05-12 10:30,.57 & 29.4,176,³²,,,,,,,
23,¿ï¸ªµµºÏµ¿,2024-05-12 11:00,.4 & 20.6,184,³²,,,,,,,
24,¿ï¸ªµµºÏµ¿,2024-05-12 11:30,.53 & 27.5,197,³²³²¼­,,,,,,,
