No,°üÃø¼Ò¸í,°üÃø½Ã°£,À¯¼Ó(Kn & cm/s),À¯Çâ(¢ª),À¯Çâ16¹æÀ§
1,¿ï¸ªµµºÏµ¿,2024-05-13 00:00,.28 & 14.3,226,³²¼­
2,¿ï¸ªµµºÏµ¿,2024-05-13 00:30,.52 & 26.6,209,³²³²¼­
3,¿ï¸ªµµºÏµ¿,2024-05-13 01:00,.6 & 30.8,210,³²³²¼­
4,¿ï¸ªµµºÏµ¿,2024-05-13 01:30,.64 & 33,211,³²³²¼­
5,¿ï¸ªµµºÏµ¿,2024-05-13 02:00,.7 & 36.2,205,³²³²¼­
6,¿ï¸ªµµºÏµ¿,2024-05-13 02:30,.55 & 28.4,216,³²¼­
7,¿ï¸ªµµºÏµ¿,2024-05-13 03:00,.62 & 31.8,213,³²³²¼­
8,¿ï¸ªµµºÏµ¿,2024-05-13 03:30,.68 & 35.1,211,³²³²¼­
9,¿ï¸ªµµºÏµ¿,2024-05-13 04:00,.64 & 33,215,³²¼­
10,¿ï¸ªµµºÏµ¿,2024-05-13 04:30,.73 & 37.7,216,³²¼­
11,¿ï¸ªµµºÏµ¿,2024-05-13 05:00,.86 & 44.1,206,³²³²¼­
12,¿ï¸ªµµºÏµ¿,2024-05-13 05:30,1.02 & 52.7,206,³²³²¼­
13,¿ï¸ªµµºÏµ¿,2024-05-13 06:00,.85 & 43.9,216,³²¼­
14,¿ï¸ªµµºÏµ¿,2024-05-13 06:30,.81 & 41.6,223,³²¼­
15,¿ï¸ªµµºÏµ¿,2024-05-13 07:00,.8 & 41.3,220,³²¼­
16,¿ï¸ªµµºÏµ¿,2024-05-13 07:30,.82 & 42.4,220,³²¼­
17,¿ï¸ªµµºÏµ¿,2024-05-13 08:00,.8 & 41,227,³²¼­
18,¿ï¸ªµµºÏµ¿,2024-05-13 08:30,.8 & 41.3,234,³²¼­
19,¿ï¸ªµµºÏµ¿,2024-05-13 09:00,.88 & 45.4,232,³²¼­
20,¿ï¸ªµµºÏµ¿,2024-05-13 09:30,.75 & 38.5,247,¼­³²¼­
21,¿ï¸ªµµºÏµ¿,2024-05-13 10:00,.78 & 40,240,¼­³²¼­
22,¿ï¸ªµµºÏµ¿,2024-05-13 10:30,.65 & 33.4,248,¼­³²¼­
23,¿ï¸ªµµºÏµ¿,2024-05-13 11:00,.65 & 33.4,235,³²¼­
24,¿ï¸ªµµºÏµ¿,2024-05-13 11:30,.53 & 27.2,242,¼­³²¼­
25,¿ï¸ªµµºÏµ¿,2024-05-13 12:00,.56 & 28.9,222,³²¼­
26,¿ï¸ªµµºÏµ¿,2024-05-13 12:30,.51 & 26.2,210,³²³²¼­
27,¿ï¸ªµµºÏµ¿,2024-05-13 13:00,.54 & 27.9,202,³²³²¼­
28,¿ï¸ªµµºÏµ¿,2024-05-13 13:30,.66 & 33.9,200,³²³²¼­
29,¿ï¸ªµµºÏµ¿,2024-05-13 14:00,.74 & 37.9,194,³²³²¼­
30,¿ï¸ªµµºÏµ¿,2024-05-13 14:30,.54 & 27.6,223,³²¼­
31,¿ï¸ªµµºÏµ¿,2024-05-13 15:00,.38 & 19.3,234,³²¼­
32,¿ï¸ªµµºÏµ¿,2024-05-13 15:30,.47 & 24.2,219,³²¼­
33,¿ï¸ªµµºÏµ¿,2024-05-13 16:00,.43 & 21.9,223,³²¼­
34,¿ï¸ªµµºÏµ¿,2024-05-13 16:30,.48 & 24.5,211,³²³²¼­
35,¿ï¸ªµµºÏµ¿,2024-05-13 17:00,.22 & 11.2,219,³²¼­
36,¿ï¸ªµµºÏµ¿,2024-05-13 17:30,.23 & 11.9,221,³²¼­
37,¿ï¸ªµµºÏµ¿,2024-05-13 18:00,.27 & 14,220,³²¼­
