PIVlab, ASCII chart output - 13-Jun-2024
FRAME: 5, filenames: A: 23-10-11_1415.jpg & B: 23-10-11_1515.jpg, conversion factor xy (px -> m): 250, conversion factor uv (px/frame -> m/s): 0.069444
x [m]	y [m]	u [m/s]	v [m/s]	Vector type [-]
5500	4250	NaN	NaN	0
5500	8250	NaN	NaN	0
5500	12250	NaN	NaN	0
5500	16250	NaN	NaN	0
5500	20250	NaN	NaN	0
5500	24250	NaN	NaN	0
5500	28250	NaN	NaN	0
5500	32250	NaN	NaN	0
5500	36250	NaN	NaN	0
5500	40250	NaN	NaN	0
5500	44250	NaN	NaN	0
5500	48250	NaN	NaN	0
5500	52250	NaN	NaN	0
5500	56250	NaN	NaN	0
5500	60250	NaN	NaN	0
5500	64250	NaN	NaN	0
5500	68250	NaN	NaN	0
5500	72250	NaN	NaN	0
5500	76250	NaN	NaN	0
5500	80250	NaN	NaN	0
5500	84250	NaN	NaN	0
5500	88250	NaN	NaN	0
5500	92250	NaN	NaN	0
5500	96250	NaN	NaN	0
5500	100250	NaN	NaN	0
5500	104250	NaN	NaN	0
5500	108250	NaN	NaN	0
5500	112250	NaN	NaN	0
5500	116250	NaN	NaN	0
5500	120250	NaN	NaN	0
5500	124250	NaN	NaN	0
5500	128250	NaN	NaN	0
5500	132250	NaN	NaN	0
5500	136250	NaN	NaN	0
5500	140250	NaN	NaN	0
5500	144250	NaN	NaN	0
5500	148250	NaN	NaN	0
5500	152250	NaN	NaN	0
5500	156250	NaN	NaN	0
5500	160250	NaN	NaN	0
9500	4250	NaN	NaN	0
9500	8250	NaN	NaN	0
9500	12250	NaN	NaN	0
9500	16250	NaN	NaN	0
9500	20250	NaN	NaN	0
9500	24250	NaN	NaN	0
9500	28250	NaN	NaN	0
9500	32250	NaN	NaN	0
9500	36250	NaN	NaN	0
9500	40250	NaN	NaN	0
9500	44250	NaN	NaN	0
9500	48250	NaN	NaN	0
9500	52250	NaN	NaN	0
9500	56250	NaN	NaN	0
9500	60250	NaN	NaN	0
9500	64250	NaN	NaN	0
9500	68250	NaN	NaN	0
9500	72250	NaN	NaN	0
9500	76250	NaN	NaN	0
9500	80250	NaN	NaN	0
9500	84250	NaN	NaN	0
9500	88250	NaN	NaN	0
9500	92250	NaN	NaN	0
9500	96250	NaN	NaN	0
9500	100250	NaN	NaN	0
9500	104250	NaN	NaN	0
9500	108250	NaN	NaN	0
9500	112250	NaN	NaN	0
9500	116250	NaN	NaN	0
9500	120250	NaN	NaN	0
9500	124250	NaN	NaN	0
9500	128250	NaN	NaN	0
9500	132250	NaN	NaN	0
9500	136250	NaN	NaN	0
9500	140250	NaN	NaN	0
9500	144250	NaN	NaN	0
9500	148250	NaN	NaN	0
9500	152250	NaN	NaN	0
9500	156250	NaN	NaN	0
9500	160250	NaN	NaN	0
13500	4250	NaN	NaN	0
13500	8250	NaN	NaN	0
13500	12250	NaN	NaN	0
13500	16250	NaN	NaN	0
13500	20250	NaN	NaN	0
13500	24250	NaN	NaN	0
13500	28250	NaN	NaN	0
13500	32250	NaN	NaN	0
13500	36250	NaN	NaN	0
13500	40250	NaN	NaN	0
13500	44250	NaN	NaN	0
13500	48250	NaN	NaN	0
13500	52250	NaN	NaN	0
13500	56250	NaN	NaN	0
13500	60250	NaN	NaN	0
13500	64250	NaN	NaN	0
13500	68250	NaN	NaN	0
13500	72250	NaN	NaN	0
13500	76250	NaN	NaN	0
13500	80250	NaN	NaN	0
13500	84250	NaN	NaN	0
13500	88250	NaN	NaN	0
13500	92250	NaN	NaN	0
13500	96250	NaN	NaN	0
13500	100250	NaN	NaN	0
13500	104250	NaN	NaN	0
13500	108250	NaN	NaN	0
13500	112250	NaN	NaN	0
13500	116250	NaN	NaN	0
13500	120250	NaN	NaN	0
13500	124250	NaN	NaN	0
13500	128250	NaN	NaN	0
