No,°üÃø¼Ò¸í,°üÃø½Ã°£,À¯¼Ó(Kn & cm/s),À¯Çâ(¢ª),À¯Çâ16¹æÀ§
1,»ó¿Õµîµµ,2023-10-10 00:00,.07 & 3.8,3,ºÏ
2,»ó¿Õµîµµ,2023-10-10 00:10,.05 & 2.8,29,ºÏºÏµ¿
3,»ó¿Õµîµµ,2023-10-10 00:20,.03 & 1.5,19,ºÏºÏµ¿
4,»ó¿Õµîµµ,2023-10-10 00:30,.09 & 4.7,301,¼­ºÏ¼­
5,»ó¿Õµîµµ,2023-10-10 00:40,.11 & 5.8,268,¼­
6,»ó¿Õµîµµ,2023-10-10 00:50,.14 & 7.4,298,¼­ºÏ¼­
7,»ó¿Õµîµµ,2023-10-10 01:00,.17 & 8.5,283,¼­ºÏ¼­
8,»ó¿Õµîµµ,2023-10-10 01:10,.12 & 6,286,¼­ºÏ¼­
9,»ó¿Õµîµµ,2023-10-10 01:20,.15 & 7.8,263,¼­
10,»ó¿Õµîµµ,2023-10-10 01:30,.06 & 2.9,230,³²¼­
11,»ó¿Õµîµµ,2023-10-10 01:40,.16 & 8.3,216,³²¼­
12,»ó¿Õµîµµ,2023-10-10 01:50,.21 & 10.6,234,³²¼­
13,»ó¿Õµîµµ,2023-10-10 02:00,.22 & 11.1,244,¼­³²¼­
14,»ó¿Õµîµµ,2023-10-10 02:10,.24 & 12.3,262,¼­
15,»ó¿Õµîµµ,2023-10-10 02:20,.29 & 14.7,231,³²¼­
16,»ó¿Õµîµµ,2023-10-10 02:30,.27 & 13.7,244,¼­³²¼­
17,»ó¿Õµîµµ,2023-10-10 02:40,.36 & 18.4,238,¼­³²¼­
18,»ó¿Õµîµµ,2023-10-10 02:50,.35 & 18.1,233,³²¼­
19,»ó¿Õµîµµ,2023-10-10 03:00,.44 & 22.7,227,³²¼­
20,»ó¿Õµîµµ,2023-10-10 03:10,.48 & 24.8,223,³²¼­
21,»ó¿Õµîµµ,2023-10-10 03:20,.42 & 21.7,231,³²¼­
22,»ó¿Õµîµµ,2023-10-10 03:30,.58 & 29.7,222,³²¼­
23,»ó¿Õµîµµ,2023-10-10 03:40,.6 & 31,222,³²¼­
24,»ó¿Õµîµµ,2023-10-10 03:50,.6 & 31.1,222,³²¼­
25,»ó¿Õµîµµ,2023-10-10 04:00,.68 & 35.2,215,³²¼­
26,»ó¿Õµîµµ,2023-10-10 04:10,.72 & 36.9,217,³²¼­
27,»ó¿Õµîµµ,2023-10-10 04:20,.78 & 40.1,215,³²¼­
28,»ó¿Õµîµµ,2023-10-10 04:30,.8 & 41.1,218,³²¼­
29,»ó¿Õµîµµ,2023-10-10 04:40,.83 & 42.5,218,³²¼­
30,»ó¿Õµîµµ,2023-10-10 04:50,.83 & 42.6,220,³²¼­
31,»ó¿Õµîµµ,2023-10-10 05:00,.86 & 44.5,215,³²¼­
32,»ó¿Õµîµµ,2023-10-10 05:10,.83 & 42.9,217,³²¼­
33,»ó¿Õµîµµ,2023-10-10 05:20,.84 & 43.1,216,³²¼­
34,»ó¿Õµîµµ,2023-10-10 05:30,.85 & 43.7,217,³²¼­
35,»ó¿Õµîµµ,2023-10-10 05:40,.89 & 45.8,216,³²¼­
36,»ó¿Õµîµµ,2023-10-10 05:50,.92 & 47.5,216,³²¼­
37,»ó¿Õµîµµ,2023-10-10 06:00,.87 & 44.8,214,³²¼­
38,»ó¿Õµîµµ,2023-10-10 06:10,.82 & 42,213,³²³²¼­
39,»ó¿Õµîµµ,2023-10-10 06:20,.81 & 41.5,215,³²¼­
40,»ó¿Õµîµµ,2023-10-10 06:30,.8 & 41.2,213,³²³²¼­
41,»ó¿Õµîµµ,2023-10-10 06:40,.75 & 38.7,207,³²³²¼­
42,»ó¿Õµîµµ,2023-10-10 06:50,.77 & 39.6,212,³²³²¼­
43,»ó¿Õµîµµ,2023-10-10 07:00,.73 & 37.6,212,³²³²¼­
44,»ó¿Õµîµµ,2023-10-10 07:10,.66 & 34.2,216,³²¼­
45,»ó¿Õµîµµ,2023-10-10 07:20,.7 & 36,207,³²³²¼­
46,»ó¿Õµîµµ,2023-10-10 07:30,.58 & 29.9,211,³²³²¼­
47,»ó¿Õµîµµ,2023-10-10 07:40,.61 & 31.3,207,³²³²¼­
48,»ó¿Õµîµµ,2023-10-10 07:50,.59 & 30.3,204,³²³²¼­
49,»ó¿Õµîµµ,2023-10-10 08:00,.56 & 28.7,206,³²³²¼­
50,»ó¿Õµîµµ,2023-10-10 08:10,.44 & 22.8,205,³²³²¼­
51,»ó¿Õµîµµ,2023-10-10 08:20,.45 & 22.9,202,³²³²¼­
52,»ó¿Õµîµµ,2023-10-10 08:30,.41 & 21.2,185,³²
53,»ó¿Õµîµµ,2023-10-10 08:40,.39 & 20,179,³²
54,»ó¿Õµîµµ,2023-10-10 08:50,.36 & 18.3,177,³²
55,»ó¿Õµîµµ,2023-10-10 09:00,.26 & 13.5,195,³²³²¼­
56,»ó¿Õµîµµ,2023-10-10 09:10,.24 & 12.6,186,³²
57,»ó¿Õµîµµ,2023-10-10 09:20,.19 & 9.9,187,³²
58,»ó¿Õµîµµ,2023-10-10 09:30,.3 & 15.3,156,³²³²µ¿
59,»ó¿Õµîµµ,2023-10-10 09:40,.12 & 6,142,³²µ¿
60,»ó¿Õµîµµ,2023-10-10 09:50,.17 & 8.9,148,³²³²µ¿
61,»ó¿Õµîµµ,2023-10-10 10:00,.2 & 10.5,160,³²³²µ¿
62,»ó¿Õµîµµ,2023-10-10 10:10,.13 & 6.7,152,³²³²µ¿
