No,°üÃø¼Ò¸í,°üÃø½Ã°£,À¯¼Ó(Kn & cm/s),À¯Çâ(¢ª),À¯Çâ16¹æÀ§
1,»ó¿Õµîµµ,2024-05-12 00:00,.43 & 21.9,98,µ¿
2,»ó¿Õµîµµ,2024-05-12 00:10,.5 & 25.6,86,µ¿
3,»ó¿Õµîµµ,2024-05-12 00:20,.63 & 32.4,80,µ¿
4,»ó¿Õµîµµ,2024-05-12 00:30,.81 & 41.7,74,µ¿ºÏµ¿
5,»ó¿Õµîµµ,2024-05-12 00:40,.93 & 48,69,µ¿ºÏµ¿
6,»ó¿Õµîµµ,2024-05-12 00:50,1.05 & 54,68,µ¿ºÏµ¿
7,»ó¿Õµîµµ,2024-05-12 01:00,1.18 & 60.6,64,µ¿ºÏµ¿
8,»ó¿Õµîµµ,2024-05-12 01:10,1.29 & 66.6,63,µ¿ºÏµ¿
9,»ó¿Õµîµµ,2024-05-12 01:20,1.48 & 76,64,µ¿ºÏµ¿
10,»ó¿Õµîµµ,2024-05-12 01:30,1.55 & 79.5,62,µ¿ºÏµ¿
11,»ó¿Õµîµµ,2024-05-12 01:40,1.61 & 82.9,62,µ¿ºÏµ¿
12,»ó¿Õµîµµ,2024-05-12 01:50,1.6 & 82.3,64,µ¿ºÏµ¿
13,»ó¿Õµîµµ,2024-05-12 02:00,1.61 & 82.8,63,µ¿ºÏµ¿
14,»ó¿Õµîµµ,2024-05-12 02:10,1.64 & 84.6,62,µ¿ºÏµ¿
15,»ó¿Õµîµµ,2024-05-12 02:20,1.62 & 83.3,59,µ¿ºÏµ¿
16,»ó¿Õµîµµ,2024-05-12 02:30,1.64 & 84.3,60,µ¿ºÏµ¿
17,»ó¿Õµîµµ,2024-05-12 02:40,1.58 & 81.5,58,µ¿ºÏµ¿
18,»ó¿Õµîµµ,2024-05-12 02:50,1.48 & 76.3,56,ºÏµ¿
19,»ó¿Õµîµµ,2024-05-12 03:00,1.42 & 73,52,ºÏµ¿
20,»ó¿Õµîµµ,2024-05-12 03:10,1.33 & 68.2,50,ºÏµ¿
21,»ó¿Õµîµµ,2024-05-12 03:20,1.53 & 78.9,46,ºÏµ¿
22,»ó¿Õµîµµ,2024-05-12 03:30,1.72 & 88.4,38,ºÏµ¿
23,»ó¿Õµîµµ,2024-05-12 03:40,1.86 & 95.7,42,ºÏµ¿
24,»ó¿Õµîµµ,2024-05-12 03:50,1.83 & 94.4,36,ºÏµ¿
25,»ó¿Õµîµµ,2024-05-12 04:00,1.78 & 91.4,36,ºÏµ¿
26,»ó¿Õµîµµ,2024-05-12 04:10,1.86 & 95.8,36,ºÏµ¿
27,»ó¿Õµîµµ,2024-05-12 04:20,1.74 & 89.4,36,ºÏµ¿
28,»ó¿Õµîµµ,2024-05-12 04:30,1.69 & 86.9,36,ºÏµ¿
