No,°üÃø¼Ò¸í,°üÃø½Ã°£,À¯ÀÇÆÄ°í,À¯ÀÇÆÄÁÖ±â,ÆÄÇâ,ÆÄÇâ16¹æÀ§
1,¿ï¸ªµµºÏµ¿,2023-10-11 00:00,1.78,5.7,9,ºÏ
2,¿ï¸ªµµºÏµ¿,2023-10-11 00:30,1.84,5.7,16,ºÏºÏµ¿
3,¿ï¸ªµµºÏµ¿,2023-10-11 01:00,1.9,6.4,5,ºÏ
4,¿ï¸ªµµºÏµ¿,2023-10-11 01:30,1.75,6.1,6,ºÏ
5,¿ï¸ªµµºÏµ¿,2023-10-11 02:00,1.72,6,4,ºÏ
6,¿ï¸ªµµºÏµ¿,2023-10-11 02:30,1.62,6,13,ºÏºÏµ¿
7,¿ï¸ªµµºÏµ¿,2023-10-11 03:00,1.66,6.2,17,ºÏºÏµ¿
8,¿ï¸ªµµºÏµ¿,2023-10-11 03:30,1.62,5.7,5,ºÏ
9,¿ï¸ªµµºÏµ¿,2023-10-11 04:00,1.48,5.7,23,ºÏºÏµ¿
10,¿ï¸ªµµºÏµ¿,2023-10-11 04:30,1.63,5.8,20,ºÏºÏµ¿
11,¿ï¸ªµµºÏµ¿,2023-10-11 05:00,1.61,5.8,8,ºÏ
12,¿ï¸ªµµºÏµ¿,2023-10-11 05:30,1.56,5.4,9,ºÏ
13,¿ï¸ªµµºÏµ¿,2023-10-11 06:00,1.5,5.4,19,ºÏºÏµ¿
14,¿ï¸ªµµºÏµ¿,2023-10-11 06:30,1.57,5.3,21,ºÏºÏµ¿
15,¿ï¸ªµµºÏµ¿,2023-10-11 07:00,1.54,5.6,22,ºÏºÏµ¿
16,¿ï¸ªµµºÏµ¿,2023-10-11 07:30,1.47,5.7,21,ºÏºÏµ¿
17,¿ï¸ªµµºÏµ¿,2023-10-11 08:00,1.38,5.5,24,ºÏºÏµ¿
18,¿ï¸ªµµºÏµ¿,2023-10-11 08:30,1.29,5.6,29,ºÏºÏµ¿
19,¿ï¸ªµµºÏµ¿,2023-10-11 09:00,1.21,5.4,29,ºÏºÏµ¿
20,¿ï¸ªµµºÏµ¿,2023-10-11 09:30,1.24,5.4,40,ºÏµ¿
21,¿ï¸ªµµºÏµ¿,2023-10-11 10:00,1.17,5.5,26,ºÏºÏµ¿
22,¿ï¸ªµµºÏµ¿,2023-10-11 10:30,1.14,5.7,33,ºÏºÏµ¿
23,¿ï¸ªµµºÏµ¿,2023-10-11 11:00,1.17,5.6,38,ºÏµ¿
24,¿ï¸ªµµºÏµ¿,2023-10-11 11:30,1.24,5.7,27,ºÏºÏµ¿
25,¿ï¸ªµµºÏµ¿,2023-10-11 12:00,1.23,5.6,52,ºÏµ¿
26,¿ï¸ªµµºÏµ¿,2023-10-11 12:30,1.05,5.5,28,ºÏºÏµ¿
27,¿ï¸ªµµºÏµ¿,2023-10-11 13:00,1.13,5.5,40,ºÏµ¿
28,¿ï¸ªµµºÏµ¿,2023-10-11 13:30,1.06,5.2,26,ºÏºÏµ¿
29,¿ï¸ªµµºÏµ¿,2023-10-11 14:00,1.02,5.4,44,ºÏµ¿
30,¿ï¸ªµµºÏµ¿,2023-10-11 14:30,.99,5.5,56,ºÏµ¿
31,¿ï¸ªµµºÏµ¿,2023-10-11 15:00,1.04,5.4,29,ºÏºÏµ¿
32,¿ï¸ªµµºÏµ¿,2023-10-11 15:30,.98,5.1,23,ºÏºÏµ¿
33,¿ï¸ªµµºÏµ¿,2023-10-11 16:00,.99,5.4,30,ºÏºÏµ¿
34,¿ï¸ªµµºÏµ¿,2023-10-11 16:30,1.02,5.6,48,ºÏµ¿
35,¿ï¸ªµµºÏµ¿,2023-10-11 17:00,1,5.2,29,ºÏºÏµ¿
36,¿ï¸ªµµºÏµ¿,2023-10-11 17:30,1.04,5.4,38,ºÏµ¿
37,¿ï¸ªµµºÏµ¿,2023-10-11 18:00,1.01,5.4,60,µ¿ºÏµ¿
38,¿ï¸ªµµºÏµ¿,2023-10-11 18:30,.96,5.5,56,ºÏµ¿
39,¿ï¸ªµµºÏµ¿,2023-10-11 19:00,1.06,5.6,51,ºÏµ¿
40,¿ï¸ªµµºÏµ¿,2023-10-11 19:30,.98,5.6,44,ºÏµ¿
41,¿ï¸ªµµºÏµ¿,2023-10-11 20:00,.99,5.8,35,ºÏµ¿
42,¿ï¸ªµµºÏµ¿,2023-10-11 20:30,.98,5.8,55,ºÏµ¿
43,¿ï¸ªµµºÏµ¿,2023-10-11 21:00,.92,5.7,33,ºÏºÏµ¿
44,¿ï¸ªµµºÏµ¿,2023-10-11 21:30,.91,5.9,33,ºÏºÏµ¿
45,¿ï¸ªµµºÏµ¿,2023-10-11 22:00,.92,5.9,42,ºÏµ¿
46,¿ï¸ªµµºÏµ¿,2023-10-11 22:30,.89,5.9,52,ºÏµ¿
47,¿ï¸ªµµºÏµ¿,2023-10-11 23:00,.86,6,35,ºÏµ¿
48,¿ï¸ªµµºÏµ¿,2023-10-11 23:30,.81,6.2,42,ºÏµ¿
49,¿ï¸ªµµºÏµ¿,2023-10-12 00:00,.78,6.2,49,ºÏµ¿
50,¿ï¸ªµµºÏµ¿,2023-10-12 00:30,.83,6.2,39,ºÏµ¿
51,¿ï¸ªµµºÏµ¿,2023-10-12 01:00,.75,6.2,55,ºÏµ¿
52,¿ï¸ªµµºÏµ¿,2023-10-12 01:30,.76,6.2,44,ºÏµ¿
53,¿ï¸ªµµºÏµ¿,2023-10-12 02:00,.84,6.2,37,ºÏµ¿
54,¿ï¸ªµµºÏµ¿,2023-10-12 02:30,.74,6.2,72,µ¿ºÏµ¿
55,¿ï¸ªµµºÏµ¿,2023-10-12 03:00,.76,6.5,59,µ¿ºÏµ¿
56,¿ï¸ªµµºÏµ¿,2023-10-12 03:30,.76,6.4,56,ºÏµ¿
57,¿ï¸ªµµºÏµ¿,2023-10-12 04:00,.86,6.5,54,ºÏµ¿
58,¿ï¸ªµµºÏµ¿,2023-10-12 04:30,.74,6.8,65,µ¿ºÏµ¿
