No,°üÃø¼Ò¸í,°üÃø½Ã°£,À¯ÀÇÆÄ°í,À¯ÀÇÆÄÁÖ±â,ÆÄÇâ,ÆÄÇâ16¹æÀ§
1,¿ï¸ªµµºÏ¼­,2023-10-11 00:00,1.27,5.4,18,ºÏºÏµ¿
2,¿ï¸ªµµºÏ¼­,2023-10-11 00:30,1.23,5.5,29,ºÏºÏµ¿
3,¿ï¸ªµµºÏ¼­,2023-10-11 01:00,1.27,5.7,35,ºÏµ¿
4,¿ï¸ªµµºÏ¼­,2023-10-11 01:30,1.26,5.7,40,ºÏµ¿
5,¿ï¸ªµµºÏ¼­,2023-10-11 02:00,1.28,5.8,31,ºÏºÏµ¿
6,¿ï¸ªµµºÏ¼­,2023-10-11 02:30,1.32,6.1,12,ºÏºÏµ¿
7,¿ï¸ªµµºÏ¼­,2023-10-11 03:00,1.39,6.1,25,ºÏºÏµ¿
8,¿ï¸ªµµºÏ¼­,2023-10-11 03:30,1.41,6.1,12,ºÏºÏµ¿
9,¿ï¸ªµµºÏ¼­,2023-10-11 04:00,1.43,6.2,37,ºÏµ¿
10,¿ï¸ªµµºÏ¼­,2023-10-11 04:30,1.43,5.9,22,ºÏºÏµ¿
11,¿ï¸ªµµºÏ¼­,2023-10-11 05:00,1.47,6,20,ºÏºÏµ¿
12,¿ï¸ªµµºÏ¼­,2023-10-11 05:30,1.38,5.4,17,ºÏºÏµ¿
13,¿ï¸ªµµºÏ¼­,2023-10-11 06:00,1.34,5.8,17,ºÏºÏµ¿
14,¿ï¸ªµµºÏ¼­,2023-10-11 06:30,1.41,6,15,ºÏºÏµ¿
15,¿ï¸ªµµºÏ¼­,2023-10-11 07:00,1.27,5.7,22,ºÏºÏµ¿
16,¿ï¸ªµµºÏ¼­,2023-10-11 07:30,1.28,6,13,ºÏºÏµ¿
17,¿ï¸ªµµºÏ¼­,2023-10-11 08:00,1.3,5.8,23,ºÏºÏµ¿
18,¿ï¸ªµµºÏ¼­,2023-10-11 08:30,1.14,5.7,25,ºÏºÏµ¿
19,¿ï¸ªµµºÏ¼­,2023-10-11 09:00,1.23,5.9,23,ºÏºÏµ¿
20,¿ï¸ªµµºÏ¼­,2023-10-11 09:30,1.17,5.9,12,ºÏºÏµ¿
21,¿ï¸ªµµºÏ¼­,2023-10-11 10:00,1.09,5.5,15,ºÏºÏµ¿
22,¿ï¸ªµµºÏ¼­,2023-10-11 10:30,1.14,5.8,21,ºÏºÏµ¿
23,¿ï¸ªµµºÏ¼­,2023-10-11 11:00,1.16,5.9,35,ºÏµ¿
24,¿ï¸ªµµºÏ¼­,2023-10-11 11:30,1.12,5.7,33,ºÏºÏµ¿
25,¿ï¸ªµµºÏ¼­,2023-10-11 12:00,1.04,5.6,20,ºÏºÏµ¿
26,¿ï¸ªµµºÏ¼­,2023-10-11 12:30,1.03,5.8,35,ºÏµ¿
27,¿ï¸ªµµºÏ¼­,2023-10-11 13:00,1.09,5.8,31,ºÏºÏµ¿
28,¿ï¸ªµµºÏ¼­,2023-10-11 13:30,1.06,6,28,ºÏºÏµ¿
29,¿ï¸ªµµºÏ¼­,2023-10-11 14:00,.94,5.5,35,ºÏµ¿
30,¿ï¸ªµµºÏ¼­,2023-10-11 14:30,1.03,5.8,29,ºÏºÏµ¿
31,¿ï¸ªµµºÏ¼­,2023-10-11 15:00,.97,5.6,32,ºÏºÏµ¿
32,¿ï¸ªµµºÏ¼­,2023-10-11 15:30,.91,5.6,37,ºÏµ¿
33,¿ï¸ªµµºÏ¼­,2023-10-11 16:00,.96,5.7,23,ºÏºÏµ¿
34,¿ï¸ªµµºÏ¼­,2023-10-11 16:30,.87,5.5,32,ºÏºÏµ¿
35,¿ï¸ªµµºÏ¼­,2023-10-11 17:00,.87,5.6,22,ºÏºÏµ¿
36,¿ï¸ªµµºÏ¼­,2023-10-11 17:30,.81,5.3,35,ºÏµ¿
37,¿ï¸ªµµºÏ¼­,2023-10-11 18:00,.9,5.4,37,ºÏµ¿
38,¿ï¸ªµµºÏ¼­,2023-10-11 18:30,.87,5.5,47,ºÏµ¿
39,¿ï¸ªµµºÏ¼­,2023-10-11 19:00,.81,5.5,72,µ¿ºÏµ¿
40,¿ï¸ªµµºÏ¼­,2023-10-11 19:30,.83,5.6,46,ºÏµ¿
41,¿ï¸ªµµºÏ¼­,2023-10-11 20:00,.77,5.4,40,ºÏµ¿
42,¿ï¸ªµµºÏ¼­,2023-10-11 20:30,.73,5.2,33,ºÏºÏµ¿
43,¿ï¸ªµµºÏ¼­,2023-10-11 21:00,.82,5.3,54,ºÏµ¿
44,¿ï¸ªµµºÏ¼­,2023-10-11 21:30,.8,5.6,39,ºÏµ¿
45,¿ï¸ªµµºÏ¼­,2023-10-11 22:00,.76,5.3,29,ºÏºÏµ¿
46,¿ï¸ªµµºÏ¼­,2023-10-11 22:30,.75,5.6,36,ºÏµ¿
47,¿ï¸ªµµºÏ¼­,2023-10-11 23:00,.86,5.7,43,ºÏµ¿
48,¿ï¸ªµµºÏ¼­,2023-10-11 23:30,.74,5.7,29,ºÏºÏµ¿
49,¿ï¸ªµµºÏ¼­,2023-10-12 00:00,.77,5.9,52,ºÏµ¿
50,¿ï¸ªµµºÏ¼­,2023-10-12 00:30,.78,6.1,40,ºÏµ¿
51,¿ï¸ªµµºÏ¼­,2023-10-12 01:00,.8,6.1,49,ºÏµ¿
52,¿ï¸ªµµºÏ¼­,2023-10-12 01:30,.71,6.1,60,µ¿ºÏµ¿
53,¿ï¸ªµµºÏ¼­,2023-10-12 02:00,.79,6.2,64,µ¿ºÏµ¿
54,¿ï¸ªµµºÏ¼­,2023-10-12 02:30,.72,6.2,57,µ¿ºÏµ¿
55,¿ï¸ªµµºÏ¼­,2023-10-12 03:00,.75,5.9,61,µ¿ºÏµ¿
56,¿ï¸ªµµºÏ¼­,2023-10-12 03:30,.73,6.5,69,µ¿ºÏµ¿
57,¿ï¸ªµµºÏ¼­,2023-10-12 04:00,.7,6.3,55,ºÏµ¿
58,¿ï¸ªµµºÏ¼­,2023-10-12 04:30,.7,6.3,57,µ¿ºÏµ¿
59,¿ï¸ªµµºÏ¼­,2023-10-12 05:00,.82,6.5,54,ºÏµ¿
60,¿ï¸ªµµºÏ¼­,2023-10-12 05:30,.72,6.5,53,ºÏµ¿
61,¿ï¸ªµµºÏ¼­,2023-10-12 06:00,.71,6.4,68,µ¿ºÏµ¿
62,¿ï¸ªµµºÏ¼­,2023-10-12 06:30,.66,6.4,62,µ¿ºÏµ¿
63,¿ï¸ªµµºÏ¼­,2023-10-12 07:00,.72,6.4,41,ºÏµ¿
64,¿ï¸ªµµºÏ¼­,2023-10-12 07:30,.63,6.4,52,ºÏµ¿
65,¿ï¸ªµµºÏ¼­,2023-10-12 08:00,.66,6.2,24,ºÏºÏµ¿
66,¿ï¸ªµµºÏ¼­,2023-10-12 08:30,.68,6.6,54,ºÏµ¿
67,¿ï¸ªµµºÏ¼­,2023-10-12 09:00,.72,6.6,47,ºÏµ¿
68,¿ï¸ªµµºÏ¼­,2023-10-12 09:30,.73,6.7,59,µ¿ºÏµ¿
69,¿ï¸ªµµºÏ¼­,2023-10-12 10:00,.7,6.5,63,µ¿ºÏµ¿
70,¿ï¸ªµµºÏ¼­,2023-10-12 10:30,.74,6.6,63,µ¿ºÏµ¿
71,¿ï¸ªµµºÏ¼­,2023-10-12 11:00,.73,6.6,61,µ¿ºÏµ¿
72,¿ï¸ªµµºÏ¼­,2023-10-12 11:30,.72,6.5,49,ºÏµ¿
73,¿ï¸ªµµºÏ¼­,2023-10-12 12:00,.87,6.7,55,ºÏµ¿
74,¿ï¸ªµµºÏ¼­,2023-10-12 12:30,.81,6.5,76,µ¿ºÏµ¿
75,¿ï¸ªµµºÏ¼­,2023-10-12 13:00,.79,6.6,59,µ¿ºÏµ¿
76,¿ï¸ªµµºÏ¼­,2023-10-12 13:30,.84,6.9,53,ºÏµ¿
77,¿ï¸ªµµºÏ¼­,2023-10-12 14:00,.84,6.7,59,µ¿ºÏµ¿
78,¿ï¸ªµµºÏ¼­,2023-10-12 14:30,.84,6.7,60,µ¿ºÏµ¿
79,¿ï¸ªµµºÏ¼­,2023-10-12 15:00,.76,6.3,51,ºÏµ¿
80,¿ï¸ªµµºÏ¼­,2023-10-12 15:30,.75,6.5,58,µ¿ºÏµ¿
81,¿ï¸ªµµºÏ¼­,2023-10-12 16:00,.75,6.2,53,ºÏµ¿
82,¿ï¸ªµµºÏ¼­,2023-10-12 16:30,.7,6.7,61,µ¿ºÏµ¿
83,¿ï¸ªµµºÏ¼­,2023-10-12 17:00,.78,6.5,55,ºÏµ¿
84,¿ï¸ªµµºÏ¼­,2023-10-12 17:30,.71,6.3,63,µ¿ºÏµ¿
85,¿ï¸ªµµºÏ¼­,2023-10-12 18:00,.71,6.3,55,ºÏµ¿
86,¿ï¸ªµµºÏ¼­,2023-10-12 18:30,.66,6.4,51,ºÏµ¿
87,¿ï¸ªµµºÏ¼­,2023-10-12 19:00,.62,6.1,57,µ¿ºÏµ¿
88,¿ï¸ªµµºÏ¼­,2023-10-12 19:30,.61,6.2,58,µ¿ºÏµ¿
89,¿ï¸ªµµºÏ¼­,2023-10-12 20:00,.64,6.1,52,ºÏµ¿
90,¿ï¸ªµµºÏ¼­,2023-10-12 20:30,.62,6,63,µ¿ºÏµ¿
91,¿ï¸ªµµºÏ¼­,2023-10-12 21:00,.61,5.9,59,µ¿ºÏµ¿
92,¿ï¸ªµµºÏ¼­,2023-10-12 21:30,.65,6,47,ºÏµ¿
93,¿ï¸ªµµºÏ¼­,2023-10-12 22:00,.59,6.1,48,ºÏµ¿
94,¿ï¸ªµµºÏ¼­,2023-10-12 22:30,.64,5.9,51,ºÏµ¿
95,¿ï¸ªµµºÏ¼­,2023-10-12 23:00,.64,5.6,39,ºÏµ¿
96,¿ï¸ªµµºÏ¼­,2023-10-12 23:30,.62,5.5,57,µ¿ºÏµ¿
